candidato,ubicacion,votos_actuales,votos_proyectados,actas_contabilizadas,participacion
PARTIDO SICREO,080000,2528,2212,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,080000,1666,1457,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,080000,1482,1296,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,080000,2566,2245,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,080000,2307,2018,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,080000,2305,2017,93.662,58.366
PARTIDO APRISTA PERUANO,080000,372,325,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,080000,1198,1048,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,080000,3544,3101,93.662,58.366
UN CAMINO DIFERENTE,080000,193,168,93.662,58.366
PARTIDO DEMÓCRATA VERDE,080000,841,735,93.662,58.366
PARTIDO MORADO,080000,374,327,93.662,58.366
UNIDAD NACIONAL,080000,175,153,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,080000,246,215,93.662,58.366
PROGRESEMOS,080000,1150,1006,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,080000,391,342,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,080000,103,90,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,080000,222,194,93.662,58.366
FUERZA Y LIBERTAD,080000,313,273,93.662,58.366
SALVEMOS AL PERÚ,080000,294,257,93.662,58.366
FE EN EL PERÚ,080000,323,282,93.662,58.366
LIBERTAD POPULAR,080000,176,154,93.662,58.366
PARTIDO POLÍTICO PRIN,080000,132,115,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,080000,105,91,93.662,58.366
PERÚ MODERNO,080000,63,55,93.662,58.366
JUNTOS POR EL PERÚ,090000,92130,80622,93.662,58.366
FUERZA POPULAR,090000,48353,42313,93.662,58.366
PARTIDO CÍVICO OBRAS,090000,44366,38824,93.662,58.366
AHORA NACIÓN - AN,090000,18627,16300,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,090000,14747,12905,93.662,58.366
RENOVACIÓN POPULAR,090000,18715,16377,93.662,58.366
PARTIDO PAÍS PARA TODOS,090000,17642,15438,93.662,58.366
ALIANZA PARA EL PROGRESO,090000,2100,1837,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,090000,2672,2338,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",090000,5612,4911,93.662,58.366
PODEMOS PERÚ,090000,6354,5560,93.662,58.366
PARTIDO SICREO,090000,7190,6291,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,090000,2827,2473,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,090000,3338,2921,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,090000,1756,1536,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,090000,2508,2194,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,090000,4915,4301,93.662,58.366
PARTIDO APRISTA PERUANO,090000,1597,1397,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,090000,3638,3183,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,090000,2667,2333,93.662,58.366
UN CAMINO DIFERENTE,090000,775,678,93.662,58.366
PARTIDO DEMÓCRATA VERDE,090000,1626,1422,93.662,58.366
PARTIDO MORADO,090000,891,779,93.662,58.366
UNIDAD NACIONAL,090000,731,639,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,090000,964,843,93.662,58.366
PROGRESEMOS,090000,1085,949,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,090000,615,538,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,090000,453,396,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,090000,531,464,93.662,58.366
FUERZA Y LIBERTAD,090000,411,359,93.662,58.366
SALVEMOS AL PERÚ,090000,493,431,93.662,58.366
FE EN EL PERÚ,090000,943,825,93.662,58.366
LIBERTAD POPULAR,090000,988,864,93.662,58.366
PARTIDO POLÍTICO PRIN,090000,215,188,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,090000,261,228,93.662,58.366
PERÚ MODERNO,090000,244,213,93.662,58.366
JUNTOS POR EL PERÚ,100000,33759,29542,93.662,58.366
FUERZA POPULAR,100000,89051,77928,93.662,58.366
PARTIDO CÍVICO OBRAS,100000,46968,41101,93.662,58.366
AHORA NACIÓN - AN,100000,28922,25309,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,100000,43198,37802,93.662,58.366
RENOVACIÓN POPULAR,100000,41242,36090,93.662,58.366
PARTIDO PAÍS PARA TODOS,100000,50953,44588,93.662,58.366
ALIANZA PARA EL PROGRESO,100000,4707,4119,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,100000,7900,6913,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",100000,15328,13413,93.662,58.366
PODEMOS PERÚ,100000,10241,8961,93.662,58.366
PARTIDO SICREO,100000,16527,14462,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,100000,2707,2368,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,100000,3890,3404,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,100000,3689,3228,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,100000,2345,2052,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,100000,8053,7047,93.662,58.366
PARTIDO APRISTA PERUANO,100000,4738,4146,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,100000,3605,3154,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,100000,2490,2178,93.662,58.366
UN CAMINO DIFERENTE,100000,1288,1127,93.662,58.366
PARTIDO DEMÓCRATA VERDE,100000,1794,1569,93.662,58.366
PARTIDO MORADO,100000,2020,1767,93.662,58.366
UNIDAD NACIONAL,100000,1605,1404,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,100000,1937,1695,93.662,58.366
PROGRESEMOS,100000,2925,2559,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,100000,1103,965,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,100000,990,866,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,100000,572,500,93.662,58.366
FUERZA Y LIBERTAD,100000,789,690,93.662,58.366
SALVEMOS AL PERÚ,100000,428,374,93.662,58.366
FE EN EL PERÚ,100000,382,334,93.662,58.366
LIBERTAD POPULAR,100000,1004,878,93.662,58.366
PARTIDO POLÍTICO PRIN,100000,387,338,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,100000,302,264,93.662,58.366
PERÚ MODERNO,100000,233,203,93.662,58.366
JUNTOS POR EL PERÚ,110000,74298,65018,93.662,58.366
FUERZA POPULAR,110000,103338,90430,93.662,58.366
PARTIDO CÍVICO OBRAS,110000,67676,59223,93.662,58.366
AHORA NACIÓN - AN,110000,67233,58835,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,110000,48785,42691,93.662,58.366
RENOVACIÓN POPULAR,110000,46246,40469,93.662,58.366
PARTIDO PAÍS PARA TODOS,110000,44004,38507,93.662,58.366
ALIANZA PARA EL PROGRESO,110000,5350,4681,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,110000,2783,2435,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",110000,16514,14451,93.662,58.366
PODEMOS PERÚ,110000,15768,13798,93.662,58.366
PARTIDO SICREO,110000,23617,20667,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,110000,4434,3880,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,110000,8059,7052,93.662,58.366
